source,target,source_name,target_name
8.2376e+17,1.34927e+18,roseuune,Hansunriko
8.2376e+17,1295380140.0,roseuune,bathroomsiinger
8.2376e+17,1.05776e+18,roseuune,txt_ipin
8.2376e+17,1.24014e+18,roseuune,Penyair_Berdiri
8.2376e+17,2438711671.0,roseuune,pelitabangsa45
8.2376e+17,1.27295e+18,roseuune,riea_mariska86
8.2376e+17,322559270.0,roseuune,forjakeu
1.49896e+18,413888550.0,WiraTimoer,abangbelneg
1.48727e+18,413888550.0,SemarMeshem,abangbelneg
1.39683e+18,23343960.0,yudiiswahiswah1,kompascom
191717898.0,200333317.0,MikhailGorbaDom,aryobimmo
1.48583e+18,1.1688e+18,NimanaTita,ElvinaNara
1.51224e+18,1.39955e+18,9ebbbyyy,IKNnusantaraID
1.52713e+18,1.52911e+18,dire750,gundamzet4
1.52495e+18,1.52911e+18,bire212,gundamzet4
1.53218e+18,1.52911e+18,lili7505,gundamzet4
1.35711e+18,1.27234e+18,macesonyaa,RajoViral
1.35711e+18,1.52868e+18,macesonyaa,thecatman96
1.35711e+18,1.24264e+18,Fransis88695069,rizki_laz
1.48776e+18,1.39955e+18,PutraJu57477216,IKNnusantaraID
1.49236e+18,4379131152.0,AliDin99,InfosuporterID
1.4855e+18,353558175.0,DadangSudirma,NatureApproach
1.48583e+18,922669790.0,NimanaTita,KotaNusantara
1.37219e+18,1.35842e+18,PJulvri,GracePattiraja1
1.43886e+18,73587243.0,UkanIbrahim,AbaheKade
634450969.0,332253511.0,arunariftan,_SEKNAS_RI
1.48618e+18,413888550.0,DessitaHapsari,abangbelneg
1.48548e+18,1.39955e+18,LusianaHalida,IKNnusantaraID
1.52713e+18,1.53217e+18,dire750,Seputar_plmbg
1.52495e+18,1.53217e+18,bire212,Seputar_plmbg
1.53218e+18,1.53217e+18,lili7505,Seputar_plmbg
1.0011e+18,55507370.0,dhenq_aloex,tvOneNews
1.49707e+18,1.39955e+18,ArdiRamdona,IKNnusantaraID
1.21993e+18,1.38237e+18,dabenone2,add_mand
1.40248e+18,1.52711e+18,BarakJuned,wasuparman03
1.48548e+18,1.1688e+18,LusianaHalida,ElvinaNara
1.48407e+18,1.1688e+18,anitajeann90,ElvinaNara
1.49708e+18,1.39955e+18,AyuRikacute,IKNnusantaraID
1.48735e+18,922669790.0,SenaMilia,KotaNusantara
1.48554e+18,353558175.0,WikeHimawan,NatureApproach
1.52713e+18,1.36191e+18,dire750,maduraindo04
1.52495e+18,1.36191e+18,bire212,maduraindo04
1.53219e+18,1.36191e+18,hihi1892,maduraindo04
1.04422e+18,1.38055e+18,ExcelKartika,BaehaqiZulham
1.04422e+18,1.357e+18,ExcelKartika,disdes19
1.50698e+18,2295629636.0,yurikanamnam,KelestarianAlam
1.49896e+18,2295629636.0,VithaLienz,KelestarianAlam
1.21559e+18,56708661.0,mat_utu,OngisnadeNet
1.41551e+18,1.36191e+18,JoinNkri,maduraindo04
1.32824e+18,9.27522e+17,Siska34541966,ichaswe
1.52496e+18,1.36191e+18,riri3189,maduraindo04
1.52495e+18,1.36191e+18,tire920,maduraindo04
414703617.0,17128975.0,gyan_cassandra,CNNIndonesia
1.41826e+18,1.3721e+18,Nusantara_02,GeraltRivians
1.27187e+18,540622265.0,Dovpo_official,uzaroedjanto
1.48776e+18,1.39955e+18,AnnisaP26613914,IKNnusantaraID
429080530.0,570872480.0,fznamr,id_fm
1.45843e+18,18129942.0,DianGondokusumo,tempodotco
1.38117e+18,1.13152e+18,buat_gaming,fickyisfhn
193114191.0,947281567.0,aqbastian,panditfootball
1.23558e+18,1.22293e+18,yamikillua,idextratime
349113887.0,1.04272e+18,antonwaan,garagarabola_
1.52111e+18,1.29136e+18,urboyfriieend,xxviizzz
4332996433.0,228979127.0,dendy_masyee,awfannnn
282971013.0,1.04272e+18,erirendy5,garagarabola_
1.48761e+18,3166225146.0,wkwkwina,san_ozil
1.52495e+18,1.52493e+18,tire920,chita_toe
1.52495e+18,1.52493e+18,bire212,chita_toe
9.84696e+17,1.35657e+18,anjaniriani28,adityarahman129
1.52496e+18,1.52493e+18,riri3189,chita_toe
1.52713e+18,1.52493e+18,dire750,chita_toe
1.26274e+18,1.07886e+18,_wahwahyuni,maximawandamoff
1.35657e+18,1.03728e+18,BimaNooor,princes66934439
1.35878e+18,1.35882e+18,HitsIndonesia_,ON_Trending89
1.48437e+18,353558175.0,gyujh06606181,NatureApproach
1.5166e+18,353558175.0,namsyurdn,NatureApproach
1.51228e+18,353558175.0,bay_uIII,NatureApproach
1.48696e+18,353558175.0,ramdani0348,NatureApproach
295136386.0,7.65035e+17,HendroHartono,IndiHomeCare
1.51194e+18,413888550.0,jumaallaa,abangbelneg
1539835950.0,1502481907.0,lachimolala_ya,desindahpurnama
1.48407e+18,1.39955e+18,bilqizameliani,IKNnusantaraID
1.51194e+18,1.1688e+18,juliaarrtt,ElvinaNara
416864388.0,1.45775e+18,Eexyz85_,addien90s
1.49956e+18,1.39955e+18,MasaiSuvi,IKNnusantaraID
1.45265e+18,335792589.0,SlametR94239892,geli_alay
1.51082e+18,1.39955e+18,SulisTyyaa,IKNnusantaraID
1.48769e+18,1.39955e+18,BadjaHitamz,IKNnusantaraID
